pkt_index,size,rx_time_ns,tx_time_ns,delta_ns
581,64,7117876487241328,7117876487243770,2442
582,64,7117876487244698,7117876487247114,2416
583,64,7117876487248071,7117876487250480,2409
584,64,7117876487251423,7117876487253840,2417
585,64,7117876487254826,7117876487257248,2422
586,64,7117876487258154,7117876487260574,2420
587,64,7117876487261526,7117876487263933,2407
588,64,7117876487264871,7117876487267275,2404
589,64,7117876487268217,7117876487270628,2411
590,64,7117876487271581,7117876487274013,2432
591,64,7117876487274964,7117876487277380,2416
592,64,7117876487278382,7117876487280789,2407
593,64,7117876487281756,7117876487284192,2436
594,64,7117876487285132,7117876487287534,2402
595,64,7117876487288526,7117876487290923,2397
596,64,7117876487291885,7117876487294306,2421
597,64,7117876487295275,7117876487297674,2399
598,64,7117876487298610,7117876487301007,2397
599,64,7117876487302003,7117876487304404,2401
600,64,7117876487305327,7117876487307720,2393
601,64,7117876487308722,7117876487311129,2407
602,64,7117876487312056,7117876487314452,2396
603,64,7117876487315443,7117876487317854,2411
604,64,7117876487318783,7117876487321168,2385
605,64,7117876487322124,7117876487324499,2375
606,64,7117876487325425,7117876487327804,2379
607,64,7117876487328766,7117876487331146,2380
608,64,7117876487332509,7117876487334961,2452
609,64,7117876487335870,7117876487338316,2446
610,64,7117876487339182,7117876487341622,2440
611,64,7117876487342562,7117876487344981,2419
612,64,7117876487348081,7117876487350456,2375
613,64,7117876487351463,7117876487353886,2423
614,64,7117876487354815,7117876487357224,2409
615,64,7117876487358182,7117876487360591,2409
616,64,7117876487361514,7117876487363996,2482
617,64,7117876487364935,7117876487367362,2427
618,64,7117876487368301,7117876487370728,2427
619,64,7117876487371687,7117876487374115,2428
620,64,7117876487375056,7117876487377501,2445
621,64,7117876487378511,7117876487380936,2425
622,64,7117876487381878,7117876487384300,2422
623,64,7117876487385226,7117876487387628,2402
624,64,7117876487388576,7117876487390998,2422
625,64,7117876487391987,7117876487394403,2416
626,64,7117876487395398,7117876487397832,2434
627,64,7117876487398820,7117876487401214,2394
628,64,7117876487402216,7117876487404634,2418
629,64,7117876487405600,7117876487407993,2393
630,64,7117876487408963,7117876487411394,2431
631,64,7117876487412353,7117876487414747,2394
632,64,7117876487415706,7117876487418136,2430
633,64,7117876487419102,7117876487421520,2418
634,64,7117876487422521,7117876487424911,2390
635,64,7117876487425922,7117876487428339,2417
636,64,7117876487429319,7117876487431720,2401
637,64,7117876487432721,7117876487435122,2401
638,64,7117876487436071,7117876487438498,2427
639,64,7117876487439452,7117876487441834,2382
640,64,7117876487443634,7117876487446191,2557
641,64,7117876487447154,7117876487449609,2455
642,64,7117876487450494,7117876487452885,2391
643,64,7117876487453872,7117876487456267,2395
644,64,7117876487457210,7117876487459647,2437
645,64,7117876487460652,7117876487463116,2464
646,64,7117876487464045,7117876487466489,2444
647,64,7117876487467431,7117876487469846,2415
648,64,7117876487470868,7117876487473259,2391
649,64,7117876487474211,7117876487476649,2438
650,64,7117876487477603,7117876487480017,2414
651,64,7117876487481033,7117876487483447,2414
652,64,7117876487484372,7117876487486780,2408
653,64,7117876487487719,7117876487490131,2412
654,64,7117876487491060,7117876487493480,2420
655,64,7117876487494411,7117876487496832,2421
656,64,7117876487497748,7117876487500179,2431
657,64,7117876487501139,7117876487503576,2437
658,64,7117876487504466,7117876487506894,2428
